Dátum;Kategórianév;Terméknév;Egységár;Mennyiség;Érték;Vevõnév;Vevõ megye;Vevõ város;Bolt megye;Bolt város;Boltnév
01/02/2015;Iroda;Tol;400,00 Ft;8; 3 200 Ft ;Kovács Bt;Pest;Gödöllõ;Heves;Eger;2. ABC
01/13/2015;Játék;Labda;500,00 Ft;6; 3 000 Ft ;Kovács Bt;Pest;Gödöllõ;Heves;Gyöngyös;1. ABC
01/23/2015;Játék;Labda;500,00 Ft;3; 1 500 Ft ;Nagy Kft;Heves;Gyöngyös;Heves;Gyöngyös;1. ABC
01/24/2015;Kert;Gereblye;700,00 Ft;-4;-2 800 Ft ;Nagy Kft;Heves;Gyöngyös;Pest;Gödöllõ;2. ABC
02/02/2015;Iroda;Toll;400,00 Ft;8; 3 200 Ft ;Kovács Bt;Pest;Gödöllõ;Heves;Eger;2. ABC
02/13/2015;Iroda;creuza;300,00 Ft;8; 2 400 Ft ;Kis Bt;Heves;Hatvan;Heves;Gyöngyös;2. ABC
02/14/2015;Játék;Labda;500,00 Ft;9;;Kis Bt;Heves;Hatvan;Pest;Kistarcsa;2. ABC
03/02/2015;Kert;Kapa;800,00 Ft;7; 5 600 Ft ;Nagy Kft;Heves;Gyöngyös;Heves;Hatvan;1. ABC
04/16/2015;Kert;Ásó;700,00 Ft;5; 3 500 Ft ;Tóth Kft;Heves;Eger;Heves;Eger;1. ABC
04/27/2015;Iroda;Ceruza;300,00 Ft;208; 62 400 Ft ;Kovács Bt;Pest;Gödöllõ;Heves;Hatvan;1. ABC
05/02/2015;Kert;Kapa;800,00 Ft;7; 5 600 Ft ;Nagy Kft;Heves;Gyöngyös;Heves;Hatvan;1. ABC
05/04/2015;Iroda;cerza;300,00 Ft;8; 2 400 Ft ;Kis Bt;Heves;Hatvan;Heves;Eger;2. ABC
05/24/2015;;Labda;500,00 Ft;5; 2 500 Ft ;Kis Bt;Heves;Hatvan;Heves;Gyöngyös;2. ABC
06/03/2015;Játék;Labda;500,00 Ft;6; 3 000 Ft ;Tóth Kft;Heves;Eger;Pest;Kistarcsa;1. ABC
06/13/2015;Játék;Kártya;;5;;Nagy Kft;Heves;Gyöngyös;Pest;Kistarcsa;1. ABC
06/14/2015;Játék;Labda;500,00 Ft;9; 4 500 Ft ;Kis Bt;Heves;Hatvan;Pest;Kistarcsa;2. ABC
06/14/2015;Játék;Labda;500,00 Ft;9; 4 500 Ft ;Kis Bt;Heves;Hatvan;Pest;Kistarcsa;2. ABC
06/14/2015;Játék;Labda;500,00 Ft;9; 4 500 Ft ;Kis Bt;Heves;Hatvan;Pest;Kistarcsa;2. ABC
06/24/2015;Kert;Gereblye;700,00 Ft;4; 2 800 Ft ;Nagy Kft;Heves;Gyöngyös;Pest;Gödöllõ;2. ABC
06/27/2015;Kert;Kapa;800,00 Ft;12; 9 600 Ft ;Szabó Rt;Pest;Monor;Heves;Eger;1. ABC
07/23/2015;Iroda;Toll;400,00 Ft;12; 4 800 Ft ;Kovács Bt;Pest;Gödöllõ;Heves;Hatvan;2. ABC
08/03/2015;Játék;Labda;;6;;Tóth Kft;Heves;Eger;Pest;Kistarcsa;1. ABC
08/24/2015;Játék;Labda;500,00 Ft;5; 2 500 Ft ;Kis Bt;Heves;Hatvan;Heves;Gyöngyös;2. ABC
09/01/2015;Játék;Labda;500,00 Ft;7; 3 500 Ft ;Tóth Kft;Heves;Eger;Heves;Hatvan;1. ABC
09/11/2015;Iroda;Ceruza;300,00 Ft;4;;Kovács Bt;Pest;Gödöllõ;Heves;Gyöngyös;2. ABC
09/13/2015;Játék;Kártya;500,00 Ft;5; 2 500 Ft ;Nagy Kft;Heves;Gyöngyös;Pest;Kistarcsa;1. ABC
09/22/2015;Iroda;cerza;300,00 Ft;14; 4 200 Ft ;Tóth Kft;Heves;Eger;Heves;Eger;1. ABC
09/24/2015;Iroda;Ceruza;300,00 Ft;16; 4 800 Ft ;Kis Bt;Heves;Hatvan;Heves;Gyöngyös;2. ABC
10/03/2015;Iroda;Ceruza;300,00 Ft;15; 4 500 Ft ;Kis Bt;Heves;Hatvan;Heves;Gyöngyös;2. ABC
10/11/2015;Iroda;creuza;300,00 Ft;8; 2 400 Ft ;Kis Bt;Heves;Hatvan;Heves;Eger;2. ABC
10/12/2015;Kert;Ásó;700,00 Ft;14; 9 800 Ft ;Kovács Bt;Pest;Gödöllõ;Heves;Gyöngyös;2. ABC
10/15/2015;Játék;Labda;500,00 Ft;8; 4 000 Ft ;Kis Bt;Heves;Hatvan;Pest;Kistarcsa;2. ABC
10/15/2015;Játék;Labda;500,00 Ft;8; 4 000 Ft ;Kis Bt;Heves;Hatvan;Pest;Kistarcsa;2. ABC
10/17/2015;Játék;Kártya;500,00 Ft;7; 3 500 Ft ;Nagy Kft;Heves;Gyöngyös;Heves;Gyöngyös;1. ABC
10/17/2015;Iroda;Toll;400,00 Ft;12; 4 800 Ft ;Tóth Kft;Heves;Eger;Pest;Gödöllõ;1. ABC
10/22/2015;Iroda;cerza;300,00 Ft;14; 4 200 Ft ;Tóth Kft;Heves;Eger;Heves;Eger;1. ABC
10/22/2015;Kert;Gereblye;700,00 Ft;8; 5 600 Ft ;Tóth Kft;Heves;Eger;Pest;Gödöllõ;2. ABC
10/23/2015;Iroda;creuza;300,00 Ft;11; 3 300 Ft ;Nagy Kft;Heves;Gyöngyös;Heves;Gyöngyös;2. ABC
10/24/2015;Iroda;Tol;400,00 Ft;9; 3 600 Ft ;Kis Bt;Heves;Hatvan;Heves;Gyöngyös;2. ABC
