,Dátum,Kategórianév,Terméknév,Egységár,Mennyiség,Érték,Vevõnév,Vevõ megye,Vevõ város,Bolt megye,Bolt város,Boltnév
0,01/02/2015,Iroda,Toll,400,8.0,392.0,Kovács Bt,Pest,Gödöllõ,Heves,Eger,2. ABC
1,01/13/2015,Játék,Labda,500,6.0,494.0,Kovács Bt,Pest,Gödöllõ,Heves,Gyöngyös,1. ABC
2,01/23/2015,Játék,Labda,500,3.0,497.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,1. ABC
3,01/24/2015,Kert,Gereblye,700,4.0,704.0,Nagy Kft,Heves,Gyöngyös,Pest,Gödöllõ,2. ABC
4,02/02/2015,Iroda,Toll,400,8.0,392.0,Kovács Bt,Pest,Gödöllõ,Heves,Eger,2. ABC
5,02/13/2015,Iroda,Ceruza,300,8.0,292.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,2. ABC
6,02/14/2015,Játék,Labda,500,9.0,491.0,Kis Bt,Heves,Hatvan,Pest,Kistarcsa,2. ABC
7,03/02/2015,Kert,Kapa,800,7.0,793.0,Nagy Kft,Heves,Gyöngyös,Heves,Hatvan,1. ABC
8,04/16/2015,Kert,Ásó,700,5.0,695.0,Tóth Kft,Heves,Eger,Heves,Eger,1. ABC
9,04/27/2015,Iroda,Ceruza,300,6.0,92.0,Kovács Bt,Pest,Gödöllõ,Heves,Hatvan,1. ABC
10,05/02/2015,Kert,Kapa,800,7.0,793.0,Nagy Kft,Heves,Gyöngyös,Heves,Hatvan,1. ABC
11,05/04/2015,Iroda,Ceruza,300,8.0,292.0,Kis Bt,Heves,Hatvan,Heves,Eger,2. ABC
12,05/24/2015,ismeretlen,Labda,500,5.0,495.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,2. ABC
13,06/03/2015,Játék,Labda,500,6.0,494.0,Tóth Kft,Heves,Eger,Pest,Kistarcsa,1. ABC
14,06/13/2015,Játék,Kártya,500,5.0,495.0,Nagy Kft,Heves,Gyöngyös,Pest,Kistarcsa,1. ABC
17,06/14/2015,Játék,Labda,500,9.0,491.0,Kis Bt,Heves,Hatvan,Pest,Kistarcsa,2. ABC
18,06/24/2015,Kert,Gereblye,700,4.0,696.0,Nagy Kft,Heves,Gyöngyös,Pest,Gödöllõ,2. ABC
19,06/27/2015,Kert,Kapa,800,12.0,788.0,Szabó Rt,Pest,Monor,Heves,Eger,1. ABC
20,07/23/2015,Iroda,Toll,400,12.0,388.0,Kovács Bt,Pest,Gödöllõ,Heves,Hatvan,2. ABC
21,08/03/2015,Játék,Labda,500,6.0,494.0,Tóth Kft,Heves,Eger,Pest,Kistarcsa,1. ABC
22,08/24/2015,Játék,Labda,500,5.0,495.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,2. ABC
23,09/01/2015,Játék,Labda,500,7.0,493.0,Tóth Kft,Heves,Eger,Heves,Hatvan,1. ABC
24,09/11/2015,Iroda,Ceruza,300,4.0,296.0,Kovács Bt,Pest,Gödöllõ,Heves,Gyöngyös,2. ABC
25,09/13/2015,Játék,Kártya,500,5.0,495.0,Nagy Kft,Heves,Gyöngyös,Pest,Kistarcsa,1. ABC
26,09/22/2015,Iroda,Ceruza,300,14.0,286.0,Tóth Kft,Heves,Eger,Heves,Eger,1. ABC
27,09/24/2015,Iroda,Ceruza,300,16.0,284.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,2. ABC
28,10/03/2015,Iroda,Ceruza,300,15.0,285.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,2. ABC
29,10/11/2015,Iroda,Ceruza,300,8.0,292.0,Kis Bt,Heves,Hatvan,Heves,Eger,2. ABC
30,10/12/2015,Kert,Ásó,700,14.0,686.0,Kovács Bt,Pest,Gödöllõ,Heves,Gyöngyös,2. ABC
32,10/15/2015,Játék,Labda,500,8.0,492.0,Kis Bt,Heves,Hatvan,Pest,Kistarcsa,2. ABC
33,10/17/2015,Játék,Kártya,500,7.0,493.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,1. ABC
34,10/17/2015,Iroda,Toll,400,12.0,388.0,Tóth Kft,Heves,Eger,Pest,Gödöllõ,1. ABC
35,10/22/2015,Iroda,Ceruza,300,14.0,286.0,Tóth Kft,Heves,Eger,Heves,Eger,1. ABC
36,10/22/2015,Kert,Gereblye,700,8.0,692.0,Tóth Kft,Heves,Eger,Pest,Gödöllõ,2. ABC
37,10/23/2015,Iroda,Ceruza,300,11.0,289.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,2. ABC
38,10/24/2015,Iroda,Toll,400,9.0,391.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,2. ABC
39,10/27/2015,Kert,Kapa,800,12.0,788.0,Szabó Rt,Pest,Monor,Heves,Eger,1. ABC
40,10/27/2015,Játék,Labda,500,8.0,492.0,Tóth Kft,Heves,Eger,Pest,Kistarcsa,1. ABC
41,11/13/2015,Iroda,Ceruza,300,8.0,292.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,2. ABC
