Dátum,Kategórianév,Terméknév,Egységár,Mennyiség,Bevétel,Vevõnév,Vevõ megye,Vevõ város,Bolt megye,Bolt város,Boltnév
2015-01-02,Iroda,Toll,400,8.0,3200.0,Kovács Bt,Pest,Gödöllõ,Heves,Eger,2. ABC
2015-01-13,Játék,Labda,500,6.0,3000.0,Kovács Bt,Pest,Gödöllõ,Heves,Gyöngyös,1. ABC
2015-01-23,Játék,Labda,500,3.0,1500.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,1. ABC
2015-01-24,Kert,Gereblye,700,4.0,2800.0,Nagy Kft,Heves,Gyöngyös,Pest,Gödöllõ,2. ABC
2015-02-02,Iroda,Toll,400,8.0,3200.0,Kovács Bt,Pest,Gödöllõ,Heves,Eger,2. ABC
2015-02-13,Iroda,Ceruza,300,8.0,2400.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,2. ABC
2015-02-14,Játék,Labda,500,9.0,4500.0,Kis Bt,Heves,Hatvan,Pest,Kistarcsa,2. ABC
2015-03-02,Kert,Kapa,800,7.0,5600.0,Nagy Kft,Heves,Gyöngyös,Heves,Hatvan,1. ABC
2015-04-16,Kert,Ásó,700,5.0,3500.0,Tóth Kft,Heves,Eger,Heves,Eger,1. ABC
2015-04-27,Iroda,Ceruza,300,6.0,62400.0,Kovács Bt,Pest,Gödöllõ,Heves,Hatvan,1. ABC
2015-05-02,Kert,Kapa,800,7.0,5600.0,Nagy Kft,Heves,Gyöngyös,Heves,Hatvan,1. ABC
2015-05-04,Iroda,Ceruza,300,8.0,2400.0,Kis Bt,Heves,Hatvan,Heves,Eger,2. ABC
2015-05-24,Ismeretlen,Labda,500,5.0,2500.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,2. ABC
2015-06-03,Játék,Labda,500,6.0,3000.0,Tóth Kft,Heves,Eger,Pest,Kistarcsa,1. ABC
2015-06-13,Játék,Kártya,0,5.0,0.0,Nagy Kft,Heves,Gyöngyös,Pest,Kistarcsa,1. ABC
2015-06-14,Játék,Labda,500,9.0,4500.0,Kis Bt,Heves,Hatvan,Pest,Kistarcsa,2. ABC
2015-06-24,Kert,Gereblye,700,4.0,2800.0,Nagy Kft,Heves,Gyöngyös,Pest,Gödöllõ,2. ABC
2015-06-27,Kert,Kapa,800,12.0,9600.0,Szabó Rt,Pest,Monor,Heves,Eger,1. ABC
2015-07-23,Iroda,Toll,400,12.0,4800.0,Kovács Bt,Pest,Gödöllõ,Heves,Hatvan,2. ABC
2015-08-03,Játék,Labda,0,6.0,0.0,Tóth Kft,Heves,Eger,Pest,Kistarcsa,1. ABC
2015-08-24,Játék,Labda,500,5.0,2500.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,2. ABC
2015-09-01,Játék,Labda,500,7.0,3500.0,Tóth Kft,Heves,Eger,Heves,Hatvan,1. ABC
2015-09-11,Iroda,Ceruza,300,4.0,1200.0,Kovács Bt,Pest,Gödöllõ,Heves,Gyöngyös,2. ABC
2015-09-13,Játék,Kártya,500,5.0,2500.0,Nagy Kft,Heves,Gyöngyös,Pest,Kistarcsa,1. ABC
2015-09-22,Iroda,Ceruza,300,14.0,4200.0,Tóth Kft,Heves,Eger,Heves,Eger,1. ABC
2015-09-24,Iroda,Ceruza,300,16.0,4800.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,2. ABC
2015-10-03,Iroda,Ceruza,300,15.0,4500.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,2. ABC
2015-10-11,Iroda,Ceruza,300,8.0,2400.0,Kis Bt,Heves,Hatvan,Heves,Eger,2. ABC
2015-10-12,Kert,Ásó,700,14.0,9800.0,Kovács Bt,Pest,Gödöllõ,Heves,Gyöngyös,2. ABC
2015-10-15,Játék,Labda,500,8.0,4000.0,Kis Bt,Heves,Hatvan,Pest,Kistarcsa,2. ABC
2015-10-17,Játék,Kártya,500,7.0,3500.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,1. ABC
2015-10-17,Iroda,Toll,400,12.0,4800.0,Tóth Kft,Heves,Eger,Pest,Gödöllõ,1. ABC
2015-10-22,Iroda,Ceruza,300,14.0,4200.0,Tóth Kft,Heves,Eger,Heves,Eger,1. ABC
2015-10-22,Kert,Gereblye,700,8.0,5600.0,Tóth Kft,Heves,Eger,Pest,Gödöllõ,2. ABC
2015-10-23,Iroda,Ceruza,300,11.0,3300.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,2. ABC
2015-10-24,Iroda,Toll,400,9.0,3600.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,2. ABC
2015-10-27,Kert,Kapa,800,12.0,9600.0,Szabó Rt,Pest,Monor,Heves,Eger,1. ABC
2015-10-27,Játék,Labda,500,8.0,4000.0,Tóth Kft,Heves,Eger,Pest,Kistarcsa,1. ABC
2015-11-13,Iroda,Ceruza,300,8.0,2400.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,2. ABC
2015-11-24,Iroda,Toll,400,6.0,2400.0,Nagy Kft,Heves,Gyöngyös,Heves,Eger,1. ABC
2015-11-24,Iroda,Toll,400,9.0,3600.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,2. ABC
2015-12-13,Játék,Labda,500,8.0,4000.0,Tóth Kft,Heves,Eger,Heves,Hatvan,1. ABC
2015-12-13,Játék,Labda,500,6.0,3000.0,Kovács Bt,Pest,Gödöllõ,Heves,Gyöngyös,1. ABC
2015-12-16,Kert,Ásó,700,5.0,3500.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,2. ABC
2015-12-16,Kert,Ásó,700,5.0,3500.0,Tóth Kft,Heves,Eger,Heves,Eger,1. ABC
2015-12-16,Kert,Gereblye,700,9.0,6300.0,Tóth Kft,Heves,Eger,Heves,Gyöngyös,1. ABC
2015-12-17,Játék,Kártya,500,7.0,3500.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,1. ABC
2015-12-22,Kert,Ásó,700,8.0,5600.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,1. ABC
2015-12-24,Iroda,Toll,400,6.0,2400.0,Nagy Kft,Heves,Gyöngyös,Heves,Eger,1. ABC
2015-12-25,Iroda,Toll,400,14.0,5600.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,2. ABC
2015-12-27,Játék,Labda,500,8.0,4000.0,Tóth Kft,Heves,Eger,Pest,Kistarcsa,1. ABC
2015-12-27,Kert,Kapa,800,6.0,4800.0,Kis Bt,Heves,Hatvan,Pest,Kistarcsa,1. ABC
2016-01-02,Játék,Labda,500,3.0,1500.0,Nagy Kft,Heves,Gyöngyös,Heves,Hatvan,1. ABC
